SpeciesName,Genus,Family,Order,Authority,Year,TaxonomicReview,N_authors,N.Countries,Log10BodyMass_g,SppRichPerGenus,Morphometrics,Osteology,Dentition,InternalAnatomy,ShapeDescription,Trichology,Coloration,Karyotype,Molecular,MolMethod,N.Genes,N.Specimens,TaxaComparedExamined,TaxaCompared,N.Pages,N_evidencesI,N_evidencesII
Glischropus meghalayanus,Glischropus,Vespertilionidae,Chiroptera,"Saikia, Ruedi, & Csorba, 2022",2022,0,3,3,0.602059991327962,4,11,14,1,0,1,0,1,0,0,,0,2,4,4,7.5,28,5
Macaca selai,Macaca,Cercopithecidae,Primates,"Ghosh, Thakur, Singh, Dutta, Sharma, Chandra, & Banerjee, 2022",2022,1,7,1,,24,1,0,0,0,1,0,1,0,0,,0,33,7,7,5,3,3
Mindomys kutuku,Mindomys,Cricetidae,Rodentia,"Brito, Koch, Tinoco, & PardiÃ±as",2022,0,4,3,1.97772360528885,1,3,32,1,0,1,0,1,0,1,mtDNA,1,1,16,1,14.15,39,6
Miniopterus phillipsi,Miniopterus,Miniopteridae,Chiroptera,"Kusuminda, Mannakkara, Ukuwela, Kruskop, Amarasinghe, Saikia, Venugopal, Karunarathna, Gamage, Ruedi, Csorba, Yapa, & B. D. Patterson, 2022",2022,0,13,7,,40,12,15,1,0,0,0,1,0,1,mtDNA,2,19,3,3,8.25,31,5
Mus harennensis,Mus,Muridae,Rodentia,"Lavrenchenko & Bryja in KrÃ¡sovÃ¡, Mikula, Lavrenchenko, Å umbera, Meheretu, & Bryja",2022,0,2,3,,41,3,7,1,0,1,0,1,0,1,MultiLoci,7,9,2,3,11.6,20,6
Myotis barquezi,Myotis,Vespertilionidae,Chiroptera,"Novaes, Cláudio, Díaz, Wilson, Weksler, & Moratelli, 2022",2022,1,6,3,0.698970004336019,,4,14,1,0,0,0,1,0,0,,0,2,18,18,1.75,20,4
Myotis hayesi,Myotis,Vespertilionidae,Chiroptera,"Csorba & Furey, 2022",2022,0,2,3,,135,6,14,1,0,1,0,1,0,0,,0,1,12,3,10.25,23,5
Neodon bershulaensis,Neodon,Cricetidae,Rodentia,"Liu Shaoying, Zhou Chengran, Liu Yang, & Liu Shanlin, 2022",2022,0,4,1,,,4,22,1,0,0,0,0,0,1,"MultiLoci, Mitogenome",0,5,9,0,1.04,27,4
Neodon bomiensis,Neodon,Cricetidae,Rodentia,"Liu Shaoying, Zhou Chengran, Meng Guanliang, & Liu Shanlin, 2022",2022,0,4,2,,,4,22,1,0,0,0,0,0,1,"MultiLoci, Mitogenome",0,5,9,0,1.04,27,4
Neodon chayuensis,Neodon,Cricetidae,Rodentia,"Liu Shaoying, Zhou Chengran, Liu Yang, Tang Mingkun, & Liu Shanlin, 2022",2022,0,5,1,,,4,22,1,0,0,0,0,0,1,"MultiLoci, Mitogenome",0,11,9,0,1.04,27,4
Neodon liaoruii,Neodon,Cricetidae,Rodentia,"Liu Shaoying, Zhou Chengran, Meng Guanliang, & Liu Shanlin, 2022",2022,0,4,2,,,4,22,1,0,0,0,0,0,1,"MultiLoci, Mitogenome",0,51,9,0,1.04,27,4
Neodon namchabarwaensis,Neodon,Cricetidae,Rodentia,"Liu Shaoying, Zhou Chengran, Murphy, & Liu Shanlin, 2022",2022,0,4,2,,,4,22,1,0,0,0,0,0,1,"MultiLoci, Mitogenome",0,29,9,0,1.04,27,4
Neodon shergylaensis,Neodon,Cricetidae,Rodentia,"Liu Shaoying, Zhou Chengran, Murphy, & Liu Shanlin, 2022",2022,0,4,2,,,4,22,1,0,0,0,0,0,1,"MultiLoci, Mitogenome",0,31,9,0,1.04,27,4
Neoromicia hlandzeni,Neoromicia,Vespertilionidae,Chiroptera,"Taylor, Strydom, Richards, Markotter, Toussaint, Kearney, Cotterill, Howard, Weier, Keith, Neef, Mamba, Magagula, & Monadjem, 2022",2022,0,14,2,,5,1,13,1,0,0,0,1,0,1,mtDNA,3,19,7,2,14.25,19,5
Phyllotis camiari,Phyllotis,Cricetidae,Rodentia,"Teta, Jayat, Steppan, A. A. Ojeda, Ortiz, Novillo, Lanzone, & R. A. Ojeda",2022,0,8,2,1.69897000433602,23,3,19,1,0,1,0,0,0,0,,0,17,3,6,8.5,24,4
Phyllotis pehuenche,Phyllotis,Cricetidae,Rodentia,"Jayat, Teta, A. A. Ojeda, Steppan, Osland, Ortiz, Novillo, Lanzone, & R. A. Ojeda",2022,0,9,2,1.84509804001426,22,3,24,1,0,1,0,0,0,0,,0,48,,1,2.85,29,4
Rhinolophus namuli,Rhinolophus,Rhinolophidae,Chiroptera,"Curran, Kopp, Ruedi, & Bayliss, 2022",2022,0,4,2,,107,16,17,1,0,1,0,1,0,1,mtDNA,2,10,4,6,15,38,6
Rhipidomys bezerrensis,Rhipidomys,Cricetidae,Rodentia,"Campos, Percequillo, & Langguth, 2022",2022,0,3,1,1.65321251377534,26,4,29,1,0,0,0,1,0,0,,0,6,11,12,5.125,35,4
Rhipidomys caracolensis,Rhipidomys,Cricetidae,Rodentia,"Campos, Percequillo, & Langguth, 2022",2022,0,3,1,,26,4,29,1,0,0,0,1,0,1,mtDNA,1,25,11,12,5.125,36,5
Tamiops minshanicus,Tamiops,Sciuridae,Rodentia,"Liu Shaoying, Tang Mingkun, Murphy, Chen Shunde, & Li Song in Liu Shaoying, Tang Mingkun, Murphy, Liu Yinxun, Wang Xuming, Wan Tao, Liao Rui, Tang Keyi, Qing Jiao, Chen Shunde, & Li Song",2022,0,5,2,1.97772360528885,4,3,15,1,0,1,0,1,0,1,MultiLoci,4,4,15,0,16.5,25,6
Thomasomys burneoi,Thomasomys,Cricetidae,Rodentia,"T. E. Lee, Tinoco, & Brito",2022,0,3,2,2.02118929906994,47,3,21,1,0,1,0,1,0,1,mtDNA,1,5,9,2,9.8,28,6
Typhlomys fengjiensis,Typhlomys,Platacanthomyidae,Rodentia,"Pu Yingting, Chen Shunde, & Liu Shaoying in Pu Yingting, Wan Tao, Fan Ronghui, Fu Changkun, Tang Keyi, Jiang, Xuelong, Zhang, Baowei, Hu Tingli, Chen Shunde, & Liu Shaoying",2022,0,3,1,1.53907609879278,5,2,11,1,0,1,0,1,0,0,,0,10,,6,3.2,16,5
Akodon kadiweu,Akodon,Cricetidae,Rodentia,"Brandão, Percequillo, D'Elía, Paresque, & Carmignotto, 2021",2021,0,5,2,1.30102999566398,40,4,15,1,0,1,0,1,1,1,mtDNA,1,4,3,3,14.25,24,7
Alpiscaptulus medogensis,Alpiscaptulus,Talpidae,Eulipotyphla,"Jiang & Chen, 2021",2021,0,2,1,,0,3,15,1,0,0,0,1,0,1,MultiLoci,5,2,1,1,9,25,5
Balaenoptera ricei,Balaenoptera,Balaenopteridae,Artiodactyla,"Rosel, Wilcox, Yamada, & Mullin, 2021",2021,0,4,2,,8,1,9,0,0,1,0,1,0,1,mtDNA,1,4,,3,18.75,13,5
Bullimus carletoni,Bullimus,Muridae,Rodentia,"Heaney, Kyriazis, Balete, Rickart, & J. M. Bates",2021,0,5,1,2.61804809671209,3,2,18,1,0,1,0,1,0,0,,0,12,3,3,11,23,5
Calomyscus behzadi,Calomyscus,Calomyscidae,Rodentia,"Akharirad, Dezhman, Aliabadian, Siahsarvie, Shafaeipour, & Mirshamsi in Dezhman, Akbarirad, Aliabadian, Siahsarvie, Shafaeipour, & Mirshamsi",2021,0,6,1,,8,3,31,1,0,1,0,1,1,1,mtDNA,2,14,8,5,5.35,40,7
Chingawaemys rarus,Chingawaemys,Muridae,Rodentia,"Lavrenchenko, Mikula, & Bryja in Nicolas, Mikula, Lavrenchenko, Å umbera, BartÃ¡kovÃ¡, BryjovÃ¡, Meheretu, E. Verheyen, Missoup, A. R. Lemmon, E. M. Lemmon, & Bryja",2021,1,3,7,,0,0,0,0,0,1,0,1,0,0,,0,1,,3,11.3,2,2
Crocidura australis,Crocidura,Soricidae,Eulipotyphla,"Esselstyn, Achmadi, Handika, Swanson, Giarla, & Rowe, 2021",2021,0,6,3,0.991226075692495,216,5,12,1,0,0,0,1,0,1,"MultiLoci, UCEs, Mitogenome",6,6,20,20,4,25,5
Crocidura baletei,Crocidura,Soricidae,Eulipotyphla,"Esselstyn, Achmadi, Handika, Swanson, Giarla, & Rowe, 2021",2021,0,6,3,0.690196080028514,216,5,12,1,0,0,0,1,0,1,"MultiLoci, UCEs, Mitogenome",6,17,20,20,4,25,5
Crocidura brevicauda,Crocidura,Soricidae,Eulipotyphla,"Esselstyn, Achmadi, Handika, Swanson, Giarla, & Rowe, 2021",2021,0,6,3,1.07918124604762,216,5,12,1,0,0,0,1,0,1,"MultiLoci, UCEs, Mitogenome",6,8,20,20,4,25,5
Crocidura caudicrassa,Crocidura,Soricidae,Eulipotyphla,"Esselstyn, Achmadi, Handika, Swanson, Giarla, & Rowe, 2021",2021,0,6,3,1.21748394421391,216,5,12,1,0,0,0,1,0,1,"MultiLoci, UCEs, Mitogenome",6,13,20,20,4,25,5
Crocidura mediocris,Crocidura,Soricidae,Eulipotyphla,"Esselstyn, Achmadi, Handika, Swanson, Giarla, & Rowe, 2021",2021,0,6,3,0.568201724066995,216,5,12,1,0,0,0,1,0,1,"MultiLoci, UCEs, Mitogenome",6,98,20,20,4,25,5
Crocidura microelongata,Crocidura,Soricidae,Eulipotyphla,"Esselstyn, Achmadi, Handika, Swanson, Giarla, & Rowe, 2021",2021,0,6,3,1.09691001300806,216,5,12,1,0,0,0,1,0,1,"MultiLoci, UCEs, Mitogenome",6,98,20,20,4,25,5
Crocidura narcondamica,Crocidura,Soricidae,Eulipotyphla,"Kamalakannan, Sivaperuman, Kundu, Gokulakrishnan, Venkatraman, & Chandra, 2021",2021,0,6,1,,216,4,19,1,0,0,0,1,0,1,mtDNA,1,2,13,13,5.25,26,5
Crocidura normalis,Crocidura,Soricidae,Eulipotyphla,"Esselstyn, Achmadi, Handika, Swanson, Giarla, & Rowe, 2021",2021,0,6,3,0.690196080028514,216,5,12,1,0,0,0,1,0,1,"MultiLoci, UCEs, Mitogenome",6,59,20,20,4,25,5
Crocidura ordinaria,Crocidura,Soricidae,Eulipotyphla,"Esselstyn, Achmadi, Handika, Swanson, Giarla, & Rowe, 2021",2021,0,6,3,1.04139268515823,216,5,12,1,0,0,0,1,0,1,"MultiLoci, UCEs, Mitogenome",6,45,20,20,4,25,5
Crocidura pallida,Crocidura,Soricidae,Eulipotyphla,"Esselstyn, Achmadi, Handika, Swanson, Giarla, & Rowe, 2021",2021,0,6,3,1.04139268515823,216,5,12,1,0,0,0,1,0,1,"MultiLoci, UCEs, Mitogenome",6,81,20,20,4,25,5
Crocidura parva,Crocidura,Soricidae,Eulipotyphla,"Esselstyn, Achmadi, Handika, Swanson, Giarla, & Rowe, 2021",2021,0,6,3,0.591064607026499,216,5,12,1,0,0,0,1,0,1,"MultiLoci, UCEs, Mitogenome",6,35,20,20,4,25,5
Crocidura pseudorhoditis,Crocidura,Soricidae,Eulipotyphla,"Esselstyn, Achmadi, Handika, Swanson, Giarla, & Rowe, 2021",2021,0,6,3,1.04139268515823,216,5,12,1,0,0,0,1,0,1,"MultiLoci, UCEs, Mitogenome",6,97,20,20,4,25,5
Crocidura quasielongata,Crocidura,Soricidae,Eulipotyphla,"Esselstyn, Achmadi, Handika, Swanson, Giarla, & Rowe, 2021",2021,0,6,3,1.20411998265592,216,5,12,1,0,0,0,1,0,1,"MultiLoci, UCEs, Mitogenome",6,120,20,20,4,25,5
Crocidura solita,Crocidura,Soricidae,Eulipotyphla,"Esselstyn, Achmadi, Handika, Swanson, Giarla, & Rowe, 2021",2021,0,6,3,0.977723605288848,216,5,12,1,0,0,0,1,0,1,"MultiLoci, UCEs, Mitogenome",6,156,20,20,4,25,5
Crocidura tenebrosa,Crocidura,Soricidae,Eulipotyphla,"Esselstyn, Achmadi, Handika, Swanson, Giarla, & Rowe, 2021",2021,0,6,3,0.797959643737196,216,5,12,1,0,0,0,1,0,1,"MultiLoci, UCEs, Mitogenome",6,14,20,20,4,25,5
Ctenomys plebiscitum,Ctenomys,Ctenomyidae,Rodentia,"Brook, Tomasco, B. GonzÃ¡lez, & G. M. Martin",2021,0,4,2,2.14612803567824,66,3,40,1,0,1,0,1,0,1,mtDNA,1,46,6,3,14.8,47,6
Cynomops kuizha,Cynomops,Molossidae,Chiroptera,"Arenas-Viveros, Sánchez-Vendizú, Giraldo, & Salazar-Bravo, 2021",2021,0,4,4,,8,11,5,1,0,1,0,1,0,1,mtDNA,1,9,3,8,7.5,20,6
Dendrohyrax interfluvialis,Dendrohyrax,Procaviidae,Hyracoidea,"Oates, Woodman, Gaubert, Sargis, Wiafe, Lecompte, Dowsett-Lemaire, Dowsett, Bi, Ikemeh, Djagoun, Tomsett, & Bearder, 2021",2021,0,13,6,,3,2,17,1,0,1,0,1,0,1,"mtDNA, Mitogenome",2,7,5,7,15.5,24,6
Eptesicus langeri,Eptesicus,Vespertilionidae,Chiroptera,"Acosta, Poma-Urey, Ossa-López, Rivera-Páez, & Ramírez-Chaves, 2021",2021,0,5,2,,24,7,19,1,0,1,0,1,0,1,mtDNA,3,19,5,5,2.25,32,6
Eptesicus orinocensis,Eptesicus,Vespertilionidae,Chiroptera,"Ramírez-Chaves, Morales-Martínez, Pérez, Velásquez-Guarín, Mejía-Fontecha, Ortiz-Giraldo, Ossa-López, & Páez, 2021",2021,0,8,1,,24,6,9,1,0,1,0,1,0,1,mtDNA,3,67,6,17,19.25,21,6
Eupetaurus nivamons,Eupetaurus,Sciuridae,Rodentia,"Li Quan, Jiang Xuelong, S. M. Jackson, & K. M. Helgen in S. M. Jackson, Li Quan, Wan Tao, Li Xueyou, Yu Fahong, Gao Ge, He Likun, K. M. Helgen, & Jiang Xuelong",2021,1,4,3,,2,0,32,1,0,1,0,1,0,1,MultiLoci,4,9,2,2,18.95,39,5
Eupetaurus tibetensis,Eupetaurus,Sciuridae,Rodentia,"S. M. Jackson, K. M. Helgen, Li Quan, & Jiang Xuelong in S. M. Jackson, Li Quan, Wan Tao, Li Xueyou, Yu Fahong, Gao Ge, He Likun, K. M. Helgen, & Jiang Xuelong",2021,1,4,3,,2,0,32,1,0,1,0,1,0,1,MultiLoci,4,4,2,2,18.95,39,5
Histiotus cadenai,Histiotus,Vespertilionidae,Chiroptera,"Rodríguez-Posada, Ramírez-Chaves, & Morales-Martínez, 2021",2021,1,3,1,1.05115252244738,10,5,13,1,0,1,0,1,0,1,mtDNA,1,7,10,9,4.75,22,6
Histiotus mochica,Histiotus,Vespertilionidae,Chiroptera,"Velazco, Almeida, Cláudio, Giménez, & Giannini, 2021",2021,0,5,3,0.903089986991944,10,1,11,1,0,0,0,1,0,1,mtDNA,1,2,11,11,16.25,15,5
Holochilus oxe,Holochilus,Cricetidae,Rodentia,"Prado, Knowles, & Percequillo, 2021",2021,0,3,2,1.73239375982297,6,4,17,1,0,1,0,1,0,0,,0,92,2,0,4.33,24,5
Hypsugo stubbei,Hypsugo,Vespertilionidae,Chiroptera,"Dolch, Batsaikhan, Stubbe, & Steinhauser, 2021",2021,0,4,2,0.845098040014257,17,6,7,1,0,1,0,1,0,1,mtDNA,2,5,4,8,,18,6
Marmosa adleri,Marmosa,Didelphidae,Didelphimorphia,"Voss, Giarla, & Jansa, 2021",2021,1,3,1,1.60205999132796,25,5,11,1,0,0,0,1,0,1,mtDNA,1,9,2,3,7.41666,19,5
Marmosa jansae,Marmosa,Didelphidae,Didelphimorphia,"Voss & Giarla, 2021",2021,1,2,1,,25,5,12,1,0,0,0,1,0,1,MultiLoci,5,22,2,3,6.1666,24,5
Megalomys camerhogne,Megalomys,Cricetidae,Rodentia,"Mistretta, Giovas, Weksler, & Turvey",2021,0,4,4,,,0,14,1,0,1,0,1,0,1,MultiLoci,4,23,7,5,16.6,21,5
Mesoplodon eueu,Mesoplodon,Ziphiidae,Artiodactyla,"E. L. Carroll, M. R. McGowen, McCarthy, Marx, Aguilar, Dalebout, Dreyer, Gaggiotti, S. S. Hansen, van Helden, Onoufriou, R. W. Baird, C. S. Baker, Berrow, Cholewiak, Claridge, Constantine, N. J. Davison, Eira, Fordyce, Gatesy, Hofmeyr, V. Martín, Mead, Mignucci-Giannoni, Morin, Reyes, Rogan, Rosso, M. A. Silva, Springer, Steel, & M. T. Olsen, 2021",2021,0,33,13,,15,1,9,1,0,0,0,1,0,1,"Mitogenome, SNPs",0,23,,6,5.5,12,5
Mico schneideri,Mico,Cebidae,Primates,"Costa-Araújo, J. S. Silva, Boubli, R. V. Rossi, Canale, Melo, Bertuol, F. E. Silva, D. A. Silva, Nash, Sampaio, Farias, & Hrbek, 2021",2021,0,13,3,,15,0,0,0,0,0,0,1,0,0,,0,14,14,0,4.25,1,1
Microcavia sorojchi,Microcavia,Caviidae,Rodentia,"Teta, Jayat, & Ortiz",2022,0,3,1,,5,2,13,1,0,1,0,1,0,0,,0,1,5,10,7.3,18,5
Molossus melini,Molossus,Molossidae,Chiroptera,"Montani, Tomasco, Barberis, Romano, Barquez, & Dí­az, 2021",2021,0,6,2,,14,1,13,1,0,1,0,1,0,1,MultiLoci,4,3,7,20,9,21,6
Myotis moratellii,Myotis,Vespertilionidae,Chiroptera,"Novaes, Cláudio, Carrión-Bonilla, Abreu, Wilson, Maldonado, & Weksler, 2021",2021,1,7,3,,134,5,16,1,0,1,0,1,0,1,mtDNA,1,9,12,10,13.5,25,6
Myotis nimbaensis,Myotis,Vespertilionidae,Chiroptera,"Simmons, Flanders, Fils, Parker, Suter, Bamba, Douno, Keita, Morales, & Frick",2021,0,10,4,,134,4,10,1,0,1,0,1,0,1,mtDNA,1,2,3,11,17.75,18,6
Myotis pampa,Myotis,Vespertilionidae,Chiroptera,"Novaes, D. E. Wilson, & Moratelli",2021,1,3,2,,134,4,16,1,0,1,0,1,0,0,,0,15,15,15,6,23,5
Neacomys aletheia,Neacomys,Cricetidae,Rodentia,"Semedo, M. N. F. Silva, Carmignotto, & R. V. Rossi, 2021",2021,0,4,1,,22,5,21,1,0,1,0,1,1,0,,0,8,16,1,4.75,30,6
Neacomys auriventer,Neacomys,Cricetidae,Rodentia,"Brito, Tinoco, Burneo, C. Koch, Arguero, Vargas, & C. M. Pinto",2021,0,7,2,,22,3,16,1,1,1,0,1,0,1,mtDNA,1,14,6,6,,24,7
Neacomys elieceri,Neacomys,Cricetidae,Rodentia,"Semedo, M. N. F. Silva, Carmignotto, & R. V. Rossi, 2021",2021,0,4,1,,22,5,21,1,0,1,0,1,1,0,,0,17,16,1,4.75,30,6
Neacomys jau,Neacomys,Cricetidae,Rodentia,"Semedo, M. N. F. Silva, Carmignotto, & R. V. Rossi, 2021",2021,0,4,1,,22,5,21,1,0,1,0,1,1,0,,0,5,16,1,4.75,30,6
Neacomys leilae,Neacomys,Cricetidae,Rodentia,"Caccavo & Weksler, 2021",2021,0,2,1,,22,4,18,1,0,0,0,1,0,0,,0,7,16,16,8.25,24,4
Neacomys oliveirai,Neacomys,Cricetidae,Rodentia,"Caccavo & Weksler, 2021",2021,0,2,1,1.04139268515823,22,4,18,1,0,0,0,1,0,0,,0,6,16,16,8.25,24,4
Neacomys serranensis,Neacomys,Cricetidae,Rodentia,Colmenares-Pinzón,2021,,1,1,,22,,,,,,,,,,,,,,,,,
Nephelomys ricardopalmai,Nephelomys,Cricetidae,Rodentia,"Ruelas, Pacheco, Inche, & Tinoco",2021,1,4,3,1.84509804001426,13,3,23,1,0,1,0,1,0,1,mtDNA,1,11,3,4,21.05,30,6
Nyctophilus holtorum,Nyctophilus,Vespertilionidae,Chiroptera,"Parnaby, King, & Eldridge",2021,0,3,1,0.954242509439325,15,4,13,1,0,1,0,0,0,1,mtDNA,2,21,7,7,8,21,5
Oecomys matogrossensis,Oecomys,Cricetidae,Rodentia,"Saldanha & R. V. Rossi, 2021",2021,0,2,1,1.51851393987789,18,4,31,1,0,0,0,1,1,1,MultiLoci,2,28,2,19,15.5,40,6
Oligoryzomys guille,Oligoryzomys,Cricetidae,Rodentia,Hurtado,2021,0,1,1,1.49136169383427,22,3,17,1,0,1,0,1,0,0,,0,38,2,2,10.85,23,5
Oxymycterus willkaurco,Oxymycterus,Cricetidae,Rodentia,"Zeballos, Medina, Rico-Cernohorska, & Salazar-Bravo",2021,0,4,4,,16,4,22,1,0,1,0,1,0,0,,0,35,5,7,12.3,29,5
Peromyscus ensinki,Peromyscus,Cricetidae,Rodentia,"Bradley, Ordóñez-Garza, Thompson, Wright, Ceballos, Kilpatrick, & Schmidly, 2021",2021,0,7,2,,81,4,18,1,0,0,0,1,1,1,mtDNA,1,5,9,8,6.75,26,6
Peromyscus greenbaumi,Peromyscus,Cricetidae,Rodentia,"Bradley, Ordóñez-Garza, Thompson, Wright, Ceballos, Kilpatrick, & Schmidly, 2021",2021,0,7,2,,81,4,18,1,0,0,0,1,1,1,mtDNA,1,18,9,8,6.75,26,6
Plecotus gobiensis,Plecotus,Vespertilionidae,Chiroptera,"Dolch, M. Stubbe, GÃ¤rtner, Thiele, Ariunbold, Batsaikhan, Lkhagvasuren, A. Stubbe, & Steinhauser",2021,0,9,2,,17,3,31,1,0,1,0,1,0,1,mtDNA,1,2,4,0,56.8,38,6
Rhagomys septentrionalis,Rhagomys,Cricetidae,Rodentia,"Moreno CÃ¡rdenas, Tinoco, Albuja, & B. D. Patterson",2021,0,4,2,,2,3,24,1,0,1,0,1,0,1,MultiLoci,3,1,3,2,11.3,33,6
Rhinolophus yonghoiseni,Rhinolophus,Rhinolophidae,Chiroptera,"Volleth & K.-G. Heller in Volleth, Khan, S. MÃ¼ller, R. J. Baker, Arenas-Viveros, Stevens, Trifonov, Liehr, K.-G. Heller, & Sotero-Caio",2021,0,2,1,,105,1,13,1,0,1,0,0,1,0,,0,7,1,13,12.5,17,5
Sicista talgarica,Sicista,Sminthidae,Rodentia,"Lebedev, Kovalskaya, Solovyeva, Zemlemerova, Bannikova, Rusin, & Matrosova, 2021",2021,0,7,2,,18,4,25,1,0,0,0,1,1,1,MultiLoci,3,5,3,3,5,35,6
Sicista terskeica,Sicista,Sminthidae,Rodentia,"Lebedev, Kovalskaya, Solovyeva, Zemlemerova, Bannikova, Rusin, & Matrosova, 2021",2021,0,7,2,0.991226075692495,18,4,25,1,0,0,0,1,1,1,MultiLoci,3,8,3,3,5,35,6
Thomasomys antoniobracki,Thomasomys,Cricetidae,Rodentia,Ruelas & Pacheco,2021,1,2,1,2.18752072083646,46,3,22,1,0,1,0,1,0,1,mtDNA,1,4,5,5,10.55,29,6
Thomasomys pardignasi,Thomasomys,Cricetidae,Rodentia,"Brito, Vaca-Puente, C. Koch, & Tinoco",2021,0,4,3,1.83250891270624,46,4,20,1,0,1,0,1,0,1,mtDNA,1,3,8,4,16.2,28,6
Uropsilus dabieshanensis,Uropsilus,Talpidae,Eulipotyphla,"Hu, Xu, Zhang, Liu, Liao, Yang, Sun, Shi, Ban, Li, Liu, & Zhang, 2021",2021,0,12,1,,7,0,11,1,0,0,0,1,0,1,mtDNA,1,4,5,5,3.75,14,4
Vampyressa voragine,Vampyressa,Phyllostomidae,Chiroptera,"Morales-MartÃ­nez, RodrÃ­guez-Posada, & RamÃ­rez-Chaves",2021,0,3,1,1.14612803567824,4,4,11,1,0,1,0,1,0,1,mtDNA,1,6,2,5,5,19,6
Colomys lumumbai,Colomys,Muridae,Rodentia,"Kerbis Peterhans, Giarla, & Demos in Giarla, Demos, Monadjem, Hutterer, Dalton, Mamba, Roff, Mosher, MikeÅ¡, Kofron, & Kerbis Peterhans",2020,1,3,5,,3,4,15,1,0,1,0,1,0,1,MultiLoci,5,12,4,4,20.25,27,6
Colomys wologizi,Colomys,Muridae,Rodentia,"Hutterer, Monadjem, & Kerbis Peterhans in Giarla, Demos, Monadjem, Hutterer, Dalton, Mamba, Roff, Mosher, MikeÅ¡, Kofron, & Kerbis Peterhans",2020,1,3,5,,3,4,15,1,0,1,0,1,0,1,MultiLoci,5,3,4,1,20.25,27,6
